name,address,lat,long,url
Domestic Violence Shelter - The Open Gate,"2901 Market St, Wilmington, NC 28401, USA",34.235848,-77.943268,http://www.domesticviolence-wilm.org/
Shelter for Battered Women,"600 E 5th St, Charlotte, NC 28202, USA",35.22291,-80.835917,http://www.domesticviolence-wilm.org/
Coastal Women's Shelter,"1333 S Glenburnie Rd, New Bern, NC 28562, USA",35.105613,-77.099946,http://www.domesticviolence-wilm.org/
Onslow Women's Center Inc,"226 New Bridge St, Jacksonville, NC 28540, USA",34.749013,-77.4196088,http://www.domesticviolence-wilm.org/
